|Peak CPU Memory (MB)|Peak CPU Memory (MB)|Peak GPU Memory Allocated (MB)|Peak GPU Memory Allocated (MB)|Peak GPU Memory Reserved (MB)|Peak GPU Memory Reserved (MB)
|mean|std|mean|std|mean|std
Optimizer Name||||||
AMSGrad|3581.59|0.17|232.32|0.78|2218.67|10.07
AMSGradCurvature|3581.52|0.06|233.15|0.62|2419.33|18.9
Adadelta|3581.08|0.08|189.08|0.96|2210.0|9.17
AdadeltaCurvature|3581.06|0.16|189.33|0.42|2227.33|5.03
Adagrad|3581.04|0.23|145.67|0.93|2211.33|28.1
AdagradCurvature|3580.99|0.3|146.18|0.77|2219.33|4.16
Adam|3579.16|0.09|189.57|0.33|2218.0|22.27
AdamCurvature|3579.27|0.21|189.22|0.89|2324.0|106.04
AdamW|3581.09|0.03|189.94|0.96|2216.0|22.72
AdamWCurvature|3581.17|0.13|189.67|1.19|2334.0|84.66
HeavyBall|3580.93|0.06|147.07|1.72|2194.0|29.46
HeavyBallCurvature|3580.8|0.05|147.09|0.94|2228.0|12.49
NAG|3580.95|0.21|147.01|2.09|2204.67|22.48
NAGCurvature|3580.95|0.17|145.83|0.9|2238.0|15.1
NAdam|3581.16|0.11|189.35|1.74|2222.67|15.53
NAdamCurvature|3581.36|0.21|190.4|1.0|2297.33|73.49
NAdamW|3581.39|0.22|188.84|0.68|2214.67|26.41
NAdamWCurvature|3581.27|0.09|189.2|1.67|2276.67|98.88
RMSProp|3580.99|0.16|145.67|0.93|2213.33|28.59
RMSPropCurvature|3581.16|0.18|147.11|0.98|2210.67|15.28
RMSPropMomentum|3581.27|0.04|189.25|1.47|2194.0|35.16
RMSPropMomentumCurvature|3581.12|0.3|190.2|0.76|2340.0|86.97
SimpleSGD|3574.42|1.84|103.4|0.42|2169.33|4.62
SimpleSGDCurvature|3577.77|0.18|103.2|1.3|2219.33|24.03
