,Optimizer Name,Running loop number,Epoch number,Average Training Loss
0,SimpleSGD,1,1,2.3110499864892113
1,SimpleSGD,1,2,2.1841033531140677
2,SimpleSGD,1,3,2.095037383369253
3,SimpleSGD,1,4,2.0150988162318364
4,SimpleSGD,1,5,1.9387362999252127
5,SimpleSGD,1,6,1.8792437330076965
6,SimpleSGD,1,7,1.8317330079742624
7,SimpleSGD,1,8,1.7947677751130695
8,SimpleSGD,1,9,1.7610012202323237
9,SimpleSGD,1,10,1.728044232235679
10,SimpleSGD,2,1,2.3104953796048706
11,SimpleSGD,2,2,2.2115411396268048
12,SimpleSGD,2,3,2.1445851356168335
13,SimpleSGD,2,4,2.067440671256826
14,SimpleSGD,2,5,1.9921089516410344
15,SimpleSGD,2,6,1.9284031059168563
16,SimpleSGD,2,7,1.871283484410636
17,SimpleSGD,2,8,1.8217504099954533
18,SimpleSGD,2,9,1.7781611062303375
19,SimpleSGD,2,10,1.7516887655741051
20,SimpleSGD,3,1,2.273181619523447
21,SimpleSGD,3,2,2.1767744052259226
22,SimpleSGD,3,3,2.0856804892986633
23,SimpleSGD,3,4,1.9960214789909652
24,SimpleSGD,3,5,1.9263145727447317
25,SimpleSGD,3,6,1.8693004982380927
26,SimpleSGD,3,7,1.8399789303163938
27,SimpleSGD,3,8,1.795159066779704
28,SimpleSGD,3,9,1.764189756369289
29,SimpleSGD,3,10,1.7381424119200888
