optimizer,momentum,mean_accuracy,std_accuracy
SimpleSGD,,0.36012500000000003,0.003488074922742704
SimpleSGDCurvature,,0.5594166666666666,0.025305906205644744
Adam,,0.5512916666666666,0.0043064067259013785
AdamCurvature,,0.5423333333333334,0.006798692684790386
HeavyBall,,0.5194583333333334,0.0077997952252322365
HeavyBallCurvature,,0.4633749999999999,0.01944570432426316
NAG,,0.5200416666666666,0.008451659929005382
NAGCurvature,,0.34450000000000003,0.1799188474470273
Adagrad,,0.4796666666666667,0.018609006929142906
AdagradCurvature,,0.505875,0.013884943884174205
Adadelta,,0.349875,0.005596688008694668
AdadeltaCurvature,,0.4020833333333333,0.006246943697165489
RMSProp,,0.5017083333333333,0.050149187154152584
RMSPropCurvature,,0.357375,0.16584653423170068
RMSPropMomentum,,0.5092499999999999,0.01091300829285858
RMSPropMomentumCurvature,,0.500125,0.04013895136481106
AdamW,,0.5477083333333334,0.008207169968319727
AdamWCurvature,,0.549,0.004224186312178956
NAdam,,0.5622083333333333,0.01683879861774256
NAdamCurvature,,0.5660416666666667,0.007167877804637978
NAdamW,,0.568,0.007965420055883235
NAdamWCurvature,,0.513125,0.04421055209637928
AMSGrad,,0.5480416666666666,0.0023942929830931253
AMSGradCurvature,,0.5467916666666667,0.003363922148656584
