Optimizer Name,Running loop number,Initial CPU Memory (MB),Peak CPU Memory (MB),Initial GPU Memory Allocated (MB),Peak GPU Memory Allocated (MB),Initial GPU Memory Reserved (MB),Peak GPU Memory Reserved (MB)
SimpleSGD,1,3023.1484375,3354.55859375,152.93994140625,322.1298828125,156.0,7814.0
SimpleSGD,2,3355.78125,3355.78125,169.18994140625,322.1298828125,898.0,7750.0
SimpleSGDCurvature,1,3356.97265625,3379.6328125,169.18994140625,322.1298828125,560.0,8126.0
SimpleSGDCurvature,2,3379.828125,3379.828125,169.18994140625,322.1298828125,570.0,7972.0
Adam,1,3379.96484375,3380.921875,169.18994140625,628.009765625,406.0,7598.0
Adam,2,3380.98046875,3380.98046875,169.18994140625,628.009765625,900.0,7752.0
AdamCurvature,1,3380.74609375,3380.74609375,169.18994140625,628.009765625,898.0,8838.0
AdamCurvature,2,3380.98046875,3380.98046875,169.18994140625,628.009765625,1284.0,8838.0
HeavyBall,1,3380.7578125,3381.015625,169.18994140625,475.06982421875,1284.0,7752.0
HeavyBall,2,3381.2578125,3381.2578125,169.18994140625,475.06982421875,744.0,7598.0
HeavyBallCurvature,1,3381.02734375,3381.02734375,169.18994140625,475.06982421875,792.0,8366.0
HeavyBallCurvature,2,3381.26953125,3381.26953125,169.18994140625,475.06982421875,1128.0,8320.0
