|Peak CPU Memory (MB)|Peak CPU Memory (MB)|Peak GPU Memory Allocated (MB)|Peak GPU Memory Allocated (MB)|Peak GPU Memory Reserved (MB)|Peak GPU Memory Reserved (MB)
|mean|std|mean|std|mean|std
Optimizer Name||||||
AMSGrad|3382.18|0.28|780.95|0.0|7819.0|108.89
AMSGradCurvature|3382.3|0.17|780.95|0.0|9240.0|101.82
Adadelta|3382.0|0.21|628.01|0.0|7675.0|108.89
AdadeltaCurvature|3382.04|0.16|628.01|0.0|8838.0|0.0
Adagrad|3381.95|0.17|475.07|0.0|7598.0|0.0
AdagradCurvature|3381.96|0.16|475.07|0.0|8343.0|32.53
Adam|3380.95|0.04|628.01|0.0|7675.0|108.89
AdamCurvature|3380.86|0.17|628.01|0.0|8838.0|0.0
AdamW|3382.06|0.17|628.01|0.0|7655.0|108.89
AdamWCurvature|3382.06|0.17|628.01|0.0|8741.0|108.89
HeavyBall|3381.14|0.17|475.07|0.0|7675.0|108.89
HeavyBallCurvature|3381.15|0.17|475.07|0.0|8343.0|32.53
NAG|3381.16|0.17|475.07|0.0|7598.0|0.0
NAGCurvature|3381.55|0.72|475.07|0.0|8343.0|32.53
NAdam|3382.06|0.17|628.01|0.0|7742.0|0.0
NAdamCurvature|3382.05|0.18|628.01|0.0|8659.0|224.86
NAdamW|3382.08|0.16|628.01|0.0|7655.0|108.89
NAdamWCurvature|3382.08|0.16|628.01|0.0|8741.0|108.89
RMSProp|3382.04|0.15|475.07|0.0|7660.0|130.11
RMSPropCurvature|3382.04|0.17|475.07|0.0|8620.0|76.37
RMSPropMomentum|3382.04|0.16|628.01|0.0|7611.0|46.67
RMSPropMomentumCurvature|3382.04|0.16|628.01|0.0|8659.0|224.86
SimpleSGD|3355.17|0.86|322.13|0.0|7782.0|45.25
SimpleSGDCurvature|3379.73|0.14|322.13|0.0|8049.0|108.89
