,Optimizer Name,Running loop number,Epoch number,Average Training Loss
0,SimpleSGD,1,1,0.6778029884455191
1,SimpleSGD,1,2,0.6712391456040865
2,SimpleSGD,1,3,0.6689189782526201
3,SimpleSGD,1,4,0.6671423412982027
4,SimpleSGD,1,5,0.6657051574813383
5,SimpleSGD,2,1,0.6782665739765551
6,SimpleSGD,2,2,0.6706074009865686
7,SimpleSGD,2,3,0.6687205828304047
8,SimpleSGD,2,4,0.6671033034159017
9,SimpleSGD,2,5,0.6657097869207044
10,SimpleSGDCurvature,1,1,0.5881428610145283
11,SimpleSGDCurvature,1,2,0.5118512413183558
12,SimpleSGDCurvature,1,3,0.5022864156492886
13,SimpleSGDCurvature,1,4,0.4965818424656361
14,SimpleSGDCurvature,1,5,0.4926636168900094
15,SimpleSGDCurvature,2,1,0.5885994748180048
16,SimpleSGDCurvature,2,2,0.5236049008434825
17,SimpleSGDCurvature,2,3,0.5113298421694984
18,SimpleSGDCurvature,2,4,0.5071034499016714
19,SimpleSGDCurvature,2,5,0.5028333282557876
20,Adam,1,1,0.5349502734553879
21,Adam,1,2,0.5150496190928018
22,Adam,1,3,0.3411826776303147
23,Adam,1,4,0.4241145368958304
24,Adam,1,5,0.30280269306473145
25,Adam,2,1,0.5987682741891314
26,Adam,2,2,0.5056194382459198
27,Adam,2,3,0.5663866824598155
28,Adam,2,4,0.6232948156117957
29,Adam,2,5,0.6075827652074302
30,AdamCurvature,1,1,0.5415401185234461
31,AdamCurvature,1,2,0.34865389380202216
32,AdamCurvature,1,3,0.2730644011028942
33,AdamCurvature,1,4,0.2979431009870125
34,AdamCurvature,1,5,0.5078523146495959
35,AdamCurvature,2,1,0.5223875677781742
36,AdamCurvature,2,2,0.4085378776520654
37,AdamCurvature,2,3,0.29701754625144344
38,AdamCurvature,2,4,0.3616986029817156
39,AdamCurvature,2,5,0.2733872126127292
40,HeavyBall,1,1,0.6648005694968173
41,HeavyBall,1,2,0.6436607946643446
42,HeavyBall,1,3,0.5453647204574327
43,HeavyBall,1,4,0.5238788058160646
44,HeavyBall,1,5,0.5171818550696539
45,HeavyBall,2,1,0.6662389522714632
46,HeavyBall,2,2,0.653326886881422
47,HeavyBall,2,3,0.6233820697834113
48,HeavyBall,2,4,0.5341647943478398
49,HeavyBall,2,5,0.5106658228899487
50,HeavyBallCurvature,1,1,0.5724235968681315
51,HeavyBallCurvature,1,2,0.5156159092564906
52,HeavyBallCurvature,1,3,0.5107638706781746
53,HeavyBallCurvature,1,4,0.5096131839961413
54,HeavyBallCurvature,1,5,0.5024164734745374
55,HeavyBallCurvature,2,1,0.5575988129789258
56,HeavyBallCurvature,2,2,0.5085660780914523
57,HeavyBallCurvature,2,3,0.5066769095290949
58,HeavyBallCurvature,2,4,0.5068934763589332
59,HeavyBallCurvature,2,5,0.5018617148482167
60,NAG,1,1,0.6679652957637305
61,NAG,1,2,0.6527445617062082
62,NAG,1,3,0.6096478835211375
63,NAG,1,4,0.5243176052949546
64,NAG,1,5,0.5017545407934206
65,NAG,2,1,0.6686502609000128
66,NAG,2,2,0.6541836990734777
67,NAG,2,3,0.607365084032254
68,NAG,2,4,0.5233188523235007
69,NAG,2,5,0.5010019570752515
70,NAGCurvature,1,1,0.583000321383886
71,NAGCurvature,1,2,0.5423700489662248
72,NAGCurvature,1,3,0.5004619383397878
73,NAGCurvature,1,4,0.48674339006980116
74,NAGCurvature,1,5,0.49243442994802916
75,NAGCurvature,2,1,0.5861162222390637
76,NAGCurvature,2,2,0.5177988842047982
77,NAGCurvature,2,3,0.4876006399255784
78,NAGCurvature,2,4,0.48376525570749146
79,NAGCurvature,2,5,0.48518370405193656
80,Adagrad,1,1,0.5623943748487197
81,Adagrad,1,2,0.5266789865341222
82,Adagrad,1,3,0.5170381396627514
83,Adagrad,1,4,0.5083575424154236
84,Adagrad,1,5,0.5003293217100216
85,Adagrad,2,1,0.5436351265506291
86,Adagrad,2,2,0.5076577668869953
87,Adagrad,2,3,0.4973696203292833
88,Adagrad,2,4,0.48926194750412727
89,Adagrad,2,5,0.4815953844644034
90,AdagradCurvature,1,1,0.5290181703824666
91,AdagradCurvature,1,2,0.4648796847903968
92,AdagradCurvature,1,3,0.4362086305561624
93,AdagradCurvature,1,4,0.42138068244487753
94,AdagradCurvature,1,5,0.4128782164026222
95,AdagradCurvature,2,1,0.5134458433448505
96,AdagradCurvature,2,2,0.4569355453172157
97,AdagradCurvature,2,3,0.4334908381131711
98,AdagradCurvature,2,4,0.4214680556078498
99,AdagradCurvature,2,5,0.41371615816731777
100,Adadelta,1,1,0.6930936165222085
101,Adadelta,1,2,0.677740486818868
102,Adadelta,1,3,0.6736104680153744
103,Adadelta,1,4,0.670624392342088
104,Adadelta,1,5,0.668122697791844
105,Adadelta,2,1,0.7007585590674629
106,Adadelta,2,2,0.6725579675634339
107,Adadelta,2,3,0.6705302854342696
108,Adadelta,2,4,0.6690094188754694
109,Adadelta,2,5,0.6676608847089833
110,AdadeltaCurvature,1,1,0.6799780272042729
111,AdadeltaCurvature,1,2,0.6658333949676597
112,AdadeltaCurvature,1,3,0.6590190111392159
113,AdadeltaCurvature,1,4,0.6513442621588489
114,AdadeltaCurvature,1,5,0.639256967160122
115,AdadeltaCurvature,2,1,0.6748734897843662
116,AdadeltaCurvature,2,2,0.6672693404898565
117,AdadeltaCurvature,2,3,0.6624579286880423
118,AdadeltaCurvature,2,4,0.6576667592555993
119,AdadeltaCurvature,2,5,0.6515376744366215
120,RMSProp,1,1,0.6606831570212104
121,RMSProp,1,2,0.5958637910634552
122,RMSProp,1,3,0.5224618557602222
123,RMSProp,1,4,0.4661481167978081
124,RMSProp,1,5,0.37851205667041554
125,RMSProp,2,1,0.5971297254510074
126,RMSProp,2,2,0.6096949034133821
127,RMSProp,2,3,0.5941406622447305
128,RMSProp,2,4,0.5334848241243764
129,RMSProp,2,5,0.5124772792542438
130,RMSPropCurvature,1,1,0.5749368427876362
131,RMSPropCurvature,1,2,0.4604160050151553
132,RMSPropCurvature,1,3,0.3819631047179102
133,RMSPropCurvature,1,4,0.35211543526357447
134,RMSPropCurvature,1,5,0.32109619369236597
135,RMSPropCurvature,2,1,0.6237658109154954
136,RMSPropCurvature,2,2,0.572679361216111
137,RMSPropCurvature,2,3,0.5221447021150502
138,RMSPropCurvature,2,4,0.4698478574072857
139,RMSPropCurvature,2,5,0.5373775322106028
140,RMSPropMomentum,1,1,0.594918006081032
141,RMSPropMomentum,1,2,0.5451700908065497
142,RMSPropMomentum,1,3,0.5628048975354357
143,RMSPropMomentum,1,4,0.5595604208531284
144,RMSPropMomentum,1,5,0.5486699660909677
145,RMSPropMomentum,2,1,0.5920885844357053
146,RMSPropMomentum,2,2,0.5828448370017343
147,RMSPropMomentum,2,3,0.40347658081399024
148,RMSPropMomentum,2,4,0.41012736288677404
149,RMSPropMomentum,2,5,0.33503188007601437
150,RMSPropMomentumCurvature,1,1,0.6458702092850666
151,RMSPropMomentumCurvature,1,2,0.5043355933164112
152,RMSPropMomentumCurvature,1,3,0.4481632901828947
153,RMSPropMomentumCurvature,1,4,0.46780781951857225
154,RMSPropMomentumCurvature,1,5,0.479544372129266
155,RMSPropMomentumCurvature,2,1,0.5341746317839056
156,RMSPropMomentumCurvature,2,2,0.4033489801275665
157,RMSPropMomentumCurvature,2,3,0.3501258906269858
158,RMSPropMomentumCurvature,2,4,0.30733970499561736
159,RMSPropMomentumCurvature,2,5,0.29500020569159735
160,AdamW,1,1,0.5871384519763577
161,AdamW,1,2,0.6433172746266917
162,AdamW,1,3,0.6362875477705403
163,AdamW,1,4,0.6144740315089496
164,AdamW,1,5,0.5826585898124758
165,AdamW,2,1,0.5649314798428328
166,AdamW,2,2,0.6384726501796973
167,AdamW,2,3,0.6125513848591548
168,AdamW,2,4,0.5794060305441974
169,AdamW,2,5,0.5721119102328961
170,AdamWCurvature,1,1,0.5694266466706501
171,AdamWCurvature,1,2,0.3902342390861546
172,AdamWCurvature,1,3,0.3270546072579825
173,AdamWCurvature,1,4,0.4039222564296269
174,AdamWCurvature,1,5,0.3628728073464887
175,AdamWCurvature,2,1,0.5435452566940127
176,AdamWCurvature,2,2,0.41556563888977827
177,AdamWCurvature,2,3,0.31800058067280806
178,AdamWCurvature,2,4,0.32534437723307985
179,AdamWCurvature,2,5,0.33024853939221155
180,NAdam,1,1,0.6118958140204114
181,NAdam,1,2,0.48401020028691405
182,NAdam,1,3,0.48867353769717314
183,NAdam,1,4,0.4006222813395303
184,NAdam,1,5,0.512164460185241
185,NAdam,2,1,0.6647866219009734
186,NAdam,2,2,0.6039287743228445
187,NAdam,2,3,0.5039582837107413
188,NAdam,2,4,0.525214944831632
189,NAdam,2,5,0.4680330080458625
190,NAdamCurvature,1,1,0.5114705110925643
191,NAdamCurvature,1,2,0.43947630161777057
192,NAdamCurvature,1,3,0.413506717742906
193,NAdamCurvature,1,4,0.40333506279715237
194,NAdamCurvature,1,5,0.3474314535612162
195,NAdamCurvature,2,1,0.5166851866724722
196,NAdamCurvature,2,2,0.4016676825186888
197,NAdamCurvature,2,3,0.5044663376847395
198,NAdamCurvature,2,4,0.6358541163055726
199,NAdamCurvature,2,5,0.6476641666736638
200,NAdamW,1,1,0.6182081077172944
201,NAdamW,1,2,0.5991990468728695
202,NAdamW,1,3,0.5913381313384124
203,NAdamW,1,4,0.565937932437691
204,NAdamW,1,5,0.5553062399083125
205,NAdamW,2,1,0.6347706424143894
206,NAdamW,2,2,0.6312575833888987
207,NAdamW,2,3,0.5984333105235474
