Optimizer Name|Mean_Training_Loss_epoch1|Std_Training_Loss_epoch1|Mean_Training_Loss_epoch2|Std_Training_Loss_epoch2|Mean_Training_Loss_epoch3|Std_Training_Loss_epoch3|Mean_Training_Loss_epoch4|Std_Training_Loss_epoch4|Mean_Training_Loss_epoch5|Std_Training_Loss_epoch5
AMSGrad|0.5373|0.00028284271247458785|0.5477|0.0059396969619669735|0.5686|0.11144002871499986|0.4808|0.046527626202074866|0.5891500000000001|0.06611448404094217
AMSGradCurvature|0.6158|0.03606244584051388|0.5958|0.018526197667087546|0.62505|0.0774281925399269|0.625|0.0329511760032931|0.5778|0.031678383797157296
Adadelta|0.6797|0.0045254833995938765|0.6735500000000001|0.0007778174593052343|0.67115|0.00035355339059323483|0.66925|7.071067811864696e-05|0.66755|7.071067811864696e-05
AdadeltaCurvature|0.67885|0.005020458146424445|0.67045|0.0010606601717798615|0.6663|0.00042426406871188177|0.6628000000000001|0.0001414213562374117|0.65935|7.071067811864696e-05
Adagrad|0.5580499999999999|0.0045961940777125634|0.5205500000000001|0.007566042558696129|0.5098499999999999|0.00756604255869605|0.50105|0.007566042558696069|0.4927|0.007353910524340129
AdagradCurvature|0.5689500000000001|0.07007428201558695|0.49829999999999997|0.07396336931211284|0.4521|0.05939696961966997|0.42869999999999997|0.06321534623807731|0.41035|0.06540737725975566
Adam|0.6267|0.008768124086713167|0.58445|0.005868986283848326|0.5871|0.0019798989873223895|0.5684|0.04157787873376897|0.5749500000000001|0.018031222920256978
AdamCurvature|0.5418000000000001|0.03691097397793776|0.5413|0.1648973013727029|0.52985|0.17430182156248397|0.4574|0.19756563466352137|0.48945|0.13795653300949537
AdamW|0.5805|0.016546298679765155|0.5666|0.026021529547664908|0.47775|0.006576093065034874|0.4989|0.0845699710299111|0.41875|0.10755094141847389
AdamWCurvature|0.5993999999999999|0.044547727214752496|0.58875|0.1182989644925094|0.55545|0.09991418818165915|0.41255|0.051265241636024646|0.37560000000000004|0.12006673144547579
HeavyBall|0.6658|0.00042426406871199957|0.65195|0.000636396103067862|0.6045|0.006929646455628187|0.5287999999999999|0.011030865786510064|0.5124|0.013010764773832454
HeavyBallCurvature|0.57185|0.006151828996322953|0.5167|0.008626702730475872|0.4913|0.01131370849898477|0.47375|0.010960155108391456|0.4553|0.009192388155425127
NAG|0.6658|0.00042426406871199957|0.65195|0.000636396103067862|0.6042|0.007071067811865481|0.5293|0.00820243866176399|0.5103|0.015697770542341352
NAGCurvature|0.63045|0.018031222920256898|0.6164000000000001|0.0001414213562374117|0.6035|0.0059396969619669735|0.6044|0.033658282784479604|0.5906|0.01781909088590096
NAdam|0.637|0.00735391052434007|0.61235|0.000636396103067862|0.58885|0.00035355339059323483|0.57995|0.03556747109368335|0.5373|0.08881261171703038
NAdamCurvature|0.60945|0.019869700551341997|0.5427500000000001|0.05324514062334701|0.5427|0.007636753236814775|0.53085|0.038254476862192126|0.5378499999999999|0.01902117241391819
NAdamW|0.6013999999999999|0.012586500705120456|0.5305|0.004384062043356583|0.4952|0.047093311627024056|0.4977|0.04808326112068519|0.52315|0.025102290732122497
NAdamWCurvature|0.6316999999999999|0.0009899494936610968|0.5937|0.02375878784786805|0.5846|0.019374725804511467|0.54135|0.040941482630701145|0.5277499999999999|0.020576807332528584
RMSProp|0.65025|0.03896158364337871|0.53775|0.07474118677141812|0.4953|0.13293607486307096|0.4254|0.08852976900455574|0.4468|0.03266833329081849
RMSPropCurvature|0.6243|0.019798989873223347|0.49265000000000003|0.03019345955666557|0.43165|0.032739043968937155|0.40659999999999996|0.06236681810065351|0.3943|0.05982123368838193
RMSPropMomentum|0.65215|0.02085965004500321|0.5776|0.03860803025278548|0.5606|0.02998132752230961|0.49095|0.04928534264870237|0.46735|0.02976919548795367
RMSPropMomentumCurvature|0.63295|0.0593262589415514|0.6013999999999999|0.02531442276647832|0.5809|0.00028284271247458785|0.5512|0.04412346314604057|0.52425|0.03754737008100568
SimpleSGD|0.67645|0.002050609665440919|0.67135|7.071067811864696e-05|0.6687000000000001|0.00042426406871192107|0.66655|0.0006363961030679405|0.6648000000000001|0.0008485281374238028
SimpleSGDCurvature|0.5958|0.004666904755831171|0.5349999999999999|0.00961665222413697|0.5185|0.011879393923933985|0.5059|0.01244507934888328|0.4931|0.01555634918610406
